IP,DNS,Tracking Method,Last Scanned Date,Tags
64.89.44.90,qa.nspayroll.com,IP,2021-01-18,bo1_external_all|all_external|BU:NSCore|Security|BU:OpenAir|BU:NetOps|SRE|bo1_openair_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|Internet Facing Assets|network_bo1_external_all
64.89.44.84,qademo.nspayroll.com,IP,2021-01-18,bo1_external_all|all_external|BU:NSCore|Security|BU:OpenAir|BU:NetOps|SRE|bo1_openair_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.92,demo.nspayroll.com,IP,2021-01-18,bo1_external_all|all_external|BU:NSCore|Security|BU:OpenAir|BU:NetOps|SRE|bo1_openair_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|Internet Facing Assets|network_bo1_external_all
167.216.128.224,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:OpenAir|BU:NetOps|SRE|sc9b_openair_external_all|Internet Facing Assets|network_sc9_external_all
129.213.29.98,None,IP,2020-07-30,all_external|Security|Internet Facing Assets
150.136.22.210,None,IP,2021-01-19,all_external|Security|NSCore_OCI_external_IAD|Internet Facing Assets|Temp_PCI_NSCore_OCI_external_all|pci_netsuite_oci_external_all|AG:CMDB:OCI_external_all|AG:CMDB:OCI_Compartment:NetSuite.Production_external|AG:CMDB:IAD_OCI_external|AG:CMDB:NSCORE_OCI_external|Gerard_OCI_External_all
150.136.56.141,None,IP,2020-07-10,all_external|Security|Internet Facing Assets
167.216.128.217,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
129.146.220.236,None,IP,2021-01-19,all_external|Security|BU:NSPOS/RetailAnywhere|NSCore_OCI_external_PHX|NSPOS_PROD_OCI_external_all|OS:Windows 10|Internet Facing Assets|AG:CMDB:OCI_external_all|AG:CMDB:OCI_Compartment:NSPOS_external|AG:CMDB:NSPOS_OCI_external|AG:CMDB:PHX_OCI_external|Scott_NSPOS_External_all|Gerard_OCI_External_all
193.122.153.99,None,IP,2020-09-12,all_external|Security|Internet Facing Assets
129.213.129.49,None,IP,2020-09-10,all_external|Security|Internet Facing Assets
129.213.119.122,None,IP,2020-09-04,all_external|Security|Internet Facing Assets
129.213.59.234,None,IP,2020-07-10,all_external|Security|Internet Facing Assets
150.136.215.19,None,IP,2020-07-14,all_external|Security|Internet Facing Assets
129.213.86.19,None,IP,2020-07-02,all_external|Security|AI:New Asset|Internet Facing Assets
64.15.166.1,None,IP,2021-01-18,sc8_external_all|all_external|Security|ITGI|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|itgi_external_all|USSC8_itgi_external_all
132.145.197.5,None,IP,2020-07-10,all_external|Security|Internet Facing Assets
129.213.96.144,None,IP,2020-07-16,all_external|Security|Internet Facing Assets
129.213.157.12,None,IP,2020-07-02,all_external|Security|AI:New Asset|Internet Facing Assets
150.136.62.92,None,IP,2020-09-09,all_external|Security|Internet Facing Assets
172.24.254.221,None,IP,2021-01-18,all_internal|Security|BU:Payroll|ITGI|se4b_devops_internal_all|BU:DevOps|Internal|EOL:JQuery|AI:Internal|DevOps Asset
172.24.254.220,None,IP,2021-01-18,all_internal|Security|BU:Payroll|ITGI|se4b_devops_internal_all|BU:DevOps|Internal|AI:Internal|DevOps Asset
10.16.134.72,cas011-console.st.ams.netledger.com,IP,2021-01-14,all_internal|BU:NSCore|Security|am3_prod_ilo_saops_internal_all|Internal|PCI:CDE|DC:AM3|CDE:ILO|AI:Internal
10.16.134.71,tdc-console004-console.prod.ams.netledger.com,DNS,2021-01-14,all_internal|BU:NSCore|Security|am3_prod_ilo_saops_internal_all|Internal|PCI:CDE|DC:AM3|CDE:ILO|AI:Internal
10.18.54.59,app-mx003.prod.dub.netledger.com,IP,2020-10-22,all_internal|BU:NSCore|Security|du3_prod_admin_internal_all|network_du3_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:DU3|AI:Internal
129.213.107.226,None,IP,2020-07-05,all_external|Security|AI:New Asset|Internet Facing Assets
129.213.189.159,None,IP,2021-01-19,all_external|Security|NSCore_OCI_external_IAD|Internet Facing Assets|Temp_PCI_NSCore_OCI_external_all|pci_netsuite_oci_external_all|AG:CMDB:OCI_external_all|AG:CMDB:OCI_Compartment:NetSuite.Production_external|AG:CMDB:IAD_OCI_external|AG:CMDB:NSCORE_OCI_external|Gerard_OCI_External_all
193.122.174.187,None,IP,2021-01-19,all_external|Security|NSCore_OCI_external_IAD|Internet Facing Assets|Temp_PCI_NSCore_OCI_external_all|pci_netsuite_oci_external_all|AG:CMDB:OCI_external_all|AG:CMDB:OCI_Compartment:NetSuite.Production_external|AG:CMDB:IAD_OCI_external|AG:CMDB:NSCORE_OCI_external|Gerard_OCI_External_all
129.213.185.13,None,IP,2021-01-19,all_external|Security|NSCore_OCI_external_IAD|Internet Facing Assets|Temp_PCI_NSCore_OCI_external_all|pci_netsuite_oci_external_all|AG:CMDB:OCI_external_all|AG:CMDB:OCI_Compartment:NetSuite.Production_external|AG:CMDB:IAD_OCI_external|AG:CMDB:NSCORE_OCI_external|Gerard_OCI_External_all
150.136.126.72,None,IP,2020-07-03,all_external|Security|AI:New Asset|Internet Facing Assets
193.122.179.76,None,IP,2021-01-19,all_external|Security|NSCore_OCI_external_IAD|Internet Facing Assets|Temp_PCI_NSCore_OCI_external_all|pci_netsuite_oci_external_all|AG:CMDB:OCI_external_all|AG:CMDB:OCI_Compartment:NetSuite.Production_external|AG:CMDB:IAD_OCI_external|AG:CMDB:NSCORE_OCI_external|Gerard_OCI_External_all
72.34.170.143,72-34-170-143.sd.netsuite.com,DNS,2021-01-07,all_external|BU:NSCore|Security|BU:NetOps|network_ch1_external_all|NSCore_Classic_external_all|Internet Facing Assets
72.34.170.247,72-34-170-247.sd.netsuite.com,DNS,2020-12-02,all_external|BU:NSCore|Security|BU:NetOps|network_ch1_external_all|NSCore_Classic_external_all|Internet Facing Assets
