IP,DNS,Tracking Method,Tags
10.1.79.41,extforms.source.na0.snap.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.43,app.source.na0.snap.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.142,bbtor002.m.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.148,backend004.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|sc9_weblogic_vulnerable|nscore_pentest_openssh7.3_internal_all|Internal|DC:SC9|AI:Internal
10.1.66.121,qa-db045.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.150,partners001.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.97,apache-partners002.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.92,acct002.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.196,red002.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.140,apache-partners001.f.svale.netledger.com,IP,all_internal|BU:NSCore|Security|weblogic_internal_all|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.98,apache-shop001.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.112,debug001.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.239,shop002.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.94,apache-acct001.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.95,apache-acct002.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.96,apache-partners001.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|weblogic_internal_all|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.108,cas004.f.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.123,debug002.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|weblogic_internal_all|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.124,debug003.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.128,migrate002.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.144,cas001.sf.svale.netledger.com,IP,all_internal|BU:NSCore|Security|weblogic_internal_all|sc9_qa_saops_internal_all|nscore_pentest_openssh7.3_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.145,odbc001.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|openPorts.port:1708|all_odbc_servers|DC:SC9|AI:Internal
10.1.65.146,odbc002.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|weblogic_internal_all|sc9_qa_saops_internal_all|Internal|openPorts.port:1708|all_odbc_servers|DC:SC9|AI:Internal
10.1.65.151,partners002.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.65.153,red001.snap.svale.netledger.com,IP,all_internal|BU:NSCore|Security|weblogic_internal_all|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
167.216.128.79,None,IP,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.128.195,None,IP,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.12,www.netsuite.com,IP,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.15,checkout.netsuite.com,IP,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite|pci_eternal_netsuite_svale|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
